
## Unit 1 Animal Friends（动物朋友）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
| 7 | Tuesday | /ˈtjuːzdeɪ/ | n. | 星期二 | on Tuesday 在星期二 |
| 8 | Wednesday | /ˈwenzdeɪ/ | n. | 星期三 | on Wednesday 在星期三 |
| 9 | Thursday | /ˈθɜːzdeɪ/ | n. | 星期四 | on Thursday 在星期四 |
| 10 | Friday | /ˈfraɪdeɪ/ | n. | 星期五 | on Friday 在星期五 |
| 11 | Saturday | /ˈsætədeɪ/ | n. | 星期六 | on Saturday 在星期六 |
| 12 | Sunday | /ˈsʌndeɪ/ | n. | 星期日 | on Sunday 在星期日 |
| 13 | morning | /ˈmɔːnɪŋ/ | n. | 早晨；上午 | ⭐in the morning 在早上 |
| 14 | afternoon | /ˌɑːftəˈnuːn/ | n. | 下午 | ⭐in the afternoon 在下午 |
| 15 | evening | /ˈiːvnɪŋ/ | n. | 傍晚；晚上 | ⭐in the evening 在晚上 |
| 16 | night | /naɪt/ | n. | 夜晚 | ⭐at night 在晚上；Good night. 晚安 |
| 17 | visit | /ˈvɪzɪt/ | v./n. | 参观；拜访 | ⭐visit sb. 拜访某人；visit a place 参观某地 |
| 18 | museum | /mjuˈziːəm/ | n. | 博物馆 | 复数：museums |
| 19 | exhibition | /ˌeksɪˈbɪʃn/ | n. | 展览 | 复数：exhibitions；⭐go to an exhibition 去看展览 |
| 20 | gallery | /ˈɡæləri/ | n. | 画廊；美术馆 | 复数：galleries |
| 21 | art | /ɑːt/ | n. | 艺术；美术 | ⭐art gallery 美术馆；art museum 艺术博物馆 |
| 22 | painting | /ˈpeɪntɪŋ/ | n. | 油画；绘画 | ⭐oil painting 油画 |
| 23 | draw | /drɔː/ | v. | 画；绘画 | ⭐draw a picture 画画；时态：drew-drawn-drawing |
| 24 | picture | /ˈpɪktʃə(r)/ | n. | 图片；照片 | 复数：pictures；⭐take a picture 拍照 |
| 25 | photo | /ˈfəʊtəʊ/ | n. | 照片 | 复数：photos；⭐take a photo 拍照片 |
| 26 | camera | /ˈkæmərə/ | n. | 相机 | 复数：cameras |
| 27 | trip | /trɪp/ | n. | 旅行；旅游 | ⭐go on a trip 去旅行 |
| 28 | travel | /ˈtrævl/ | v./n. | 旅行；旅游 | ⭐travel around the world 环游世界 |
| 29 | tour | /tʊə(r)/ | n./v. | 旅游；游览 | ⭐go on a tour 去旅游 |
| 30 | tourist | /ˈtʊərɪst/ | n. | 游客 | 复数：tourists |
| 31 | guide | /ɡaɪd/ | n./v. | 导游；向导；指导 | 复数：guides；⭐tour guide 导游 |
| 32 | map | /mæp/ | n. | 地图 | 复数：maps；⭐read a map 看地图 |
| 33 | place | /pleɪs/ | n. | 地方 | 复数：places；⭐interesting place 有趣的地方 |
| 34 | interesting | /ˈɪntrəstɪŋ/ | adj. | 有趣的 | interest(v.)+ing；反义词：boring |
| 35 | boring | /ˈbɔːrɪŋ/ | adj. | 无聊的 | bore(v.)+ing；反义词：interesting |
| 36 | exciting | /ɪkˈsaɪtɪŋ/ | adj. | 令人兴奋的 | excite(v.)+ing |
| 37 | wonderful | /ˈwʌndəfl/ | adj. | 精彩的 | ⭐have a wonderful time 玩得开心 |
| 38 | great | /ɡreɪt/ | adj. | 伟大的；很好的 | ⭐have a great time 玩得开心 |
| 39 | fantastic | /fænˈtæstɪk/ | adj. | 极好的 | 同义词：great, wonderful |
| 40 | terrible | /ˈterəbl/ | adj. | 糟糕的 | 反义词：wonderful |
| 41 | remember | /rɪˈmembə(r)/ | v. | 记住；记得 | ⭐remember to do sth. 记得去做某事 |

---

## Unit 8 Once upon a Time（从前）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
|------|------|------|------|------|--------------|
| 1 | story | /ˈstɔːri/ | n. | 故事 | 复数：stories（y变ies）❌；⭐tell a story 讲故事 |
| 2 | once upon a time | /wʌns əˈpɒn ə taɪm/ | phr. | 从前 | 用于童话故事开头 |
| 3 | prince | /prɪns/ | n. | 王子 | 复数：princes |
| 4 | princess | /ˌprɪnˈses/ | n. | 公主 | 复数：princesses |
| 5 | king | /kɪŋ/ | n. | 国王 | 复数：kings |
| 6 | queen | /kwiːn/ | n. | 王后；女王 | 复数：queens |
| 7 | magic | /ˈmædʒɪk/ | n./adj. | 魔法；有魔力的 | ⭐magic wand 魔杖 |
| 8 | witch | /wɪtʃ/ | n. | 女巫 | 复数：witches |
| 9 | wizard | /ˈwɪzəd/ | n. | 男巫；巫师 | 复数：wizards |
| 10 | fairy | /ˈfeəri/ | n. | 仙女 | 复数：fairies；⭐fairy tale 童话 |
| 11 | fairy tale | /ˈfeəri teɪl/ | n. | 童话 | 复数：fairy tales |
| 12 | dragon | /ˈdræɡən/ | n. | 龙 | 复数：dragons |
| 13 | gold | /ɡəʊld/ | n./adj. | 黄金；金色的 | ⭐gold coin 金币 |
| 14 | silver | /ˈsɪlvə(r)/ | n./adj. | 银子；银色的 | ⭐silver coin 银币 |
| 15 | castle | /ˈkɑːsl/ | n. | 城堡 | 复数：castles |
| 16 | palace | /ˈpæləs/ | n. | 宫殿 | 复数：palaces |
| 17 | forest | /ˈfɒrɪst/ | n. | 森林 | 复数：forests；⭐in the forest 在森林里 |
| 18 | mountain | /ˈmaʊntən/ | n. | 山；山脉 | 复数：mountains；⭐climb a mountain 爬山 |
| 19 | river | /ˈrɪvə(r)/ | n. | 河；河流 | 复数：rivers |
| 20 | lake | /leɪk/ | n. | 湖；湖泊 | 复数：lakes |
| 21 | sea | /siː/ | n. | 海；海洋 | ⭐by the sea 在海边 |
| 22 | ocean | /ˈəʊʃn/ | n. | 海洋 | 复数：oceans |
| 23 | island | /ˈaɪlənd/ | n. | 岛；岛屿 | 复数：islands |
| 24 | village | /ˈvɪlɪdʒ/ | n. | 村庄；乡村 | 复数：villages |
| 25 | town | /taʊn/ | n. | 城镇 | 复数：towns |
| 26 | city | /ˈsɪti/ | n. | 城市 | 复数：cities（y变ies）❌ |
| 27 | country | /ˈkʌntri/ | n. | 国家；乡村 | 复数：countries |
| 28 | world | /wɜːld/ | n. | 世界 | ⭐around the world 世界各地 |
| 29 | earth | /ɜːθ/ | n. | 地球；地面 | ⭐on earth 在地球上 |
| 30 | space | /speɪs/ | n. | 太空；空间 | ⭐in space 在太空中 |
| 31 | sky | /skaɪ/ | n. | 天空 | 复数：skies；⭐in the sky 在天空中 |
| 32 | star | /stɑː(r)/ | n. | 星星 | 复数：stars；⭐shining star 闪亮的星星 |
| 33 | moon | /muːn/ | n. | 月亮 | ⭐full moon 满月 |
| 34 | sun | /sʌn/ | n. | 太阳 | ⭐in the sun 在阳光下 |
| 35 | dream | /driːm/ | n./v. | 梦；做梦 | 复数：dreams；⭐have a dream 做梦；时态：dreamed-dreamed-dreaming |
| 36 | wish | /wɪʃ/ | n./v. | 愿望；希望 | ⭐make a wish 许愿；⭐wish to do sth. 希望做某事 |
| 37 | hope | /həʊp/ | v./n. | 希望 | ⭐hope to do sth. 希望做某事 |
| 38 | love | /lʌv/ | v./n. | 爱；热爱 | ⭐love doing sth. 喜欢做某事 |
| 39 | like | /laɪk/ | v./prep. | 喜欢；像 | ⭐like doing sth. 喜欢做某事 |
| 40 | happy | /ˈhæpi/ | adj. | 快乐的 | ⭐be happy 开心；反义词：unhappy |
| 41 | sad | /sæd/ | adj. | 悲伤的 | 反义词：happy |
| 42 | angry | /ˈæŋɡri/ | adj. | 生气的 | ⭐be angry with sb. 对某人生气 |
| 43 | afraid | /əˈfreɪd/ | adj. | 害怕的 | ⭐be afraid of... 害怕…… |
| 44 | brave | /breɪv/ | adj. | 勇敢的 | ⭐be brave 勇敢点 |
| 45 | kind | /kaɪnd/ | adj. | 善良的；友好的 | ⭐be kind to sb. 对某人友善 |

